 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   500000000.000000        11745854.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9929029.00000000,6.698238145244624E-004)
 (30284.3170666537,-2.043015160682308E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4131072717E-001+/-     0.094491%    +i  -0.1383487223E+000+/-     0.094491%
  1     0.5286669724E-001+/-     0.061929%    +i  -0.1597018276E+000+/-     0.061898%
  2     0.5926764844E-001+/-     0.062037%    +i  -0.1567511593E+000+/-     0.062017%
  3     0.6514916972E-001+/-     0.062150%    +i  -0.1537007513E+000+/-     0.062137%
  4     0.6470063099E-001+/-     0.065242%    +i  -0.1369561121E+000+/-     0.065233%
  5     0.7598450935E-001+/-     0.062751%    +i  -0.1450163145E+000+/-     0.062745%
  6     0.7824992083E-001+/-     0.064154%    +i  -0.1356808733E+000+/-     0.064150%
  7     0.8425382213E-001+/-     0.063890%    +i  -0.1335641415E+000+/-     0.063887%
  8     0.8465717192E-001+/-     0.065796%    +i  -0.1224858121E+000+/-     0.065795%
  9     0.8560120597E-001+/-     0.067268%    +i  -0.1138607968E+000+/-     0.067267%
 10     0.9218018824E-001+/-     0.066519%    +i  -0.1127978438E+000+/-     0.066519%
 11     0.1056363308E+000+/-     0.063628%    +i  -0.1191154589E+000+/-     0.063628%
 12     0.1086148415E+000+/-     0.064150%    +i  -0.1128543872E+000+/-     0.064150%
 13     0.1102848647E+000+/-     0.064956%    +i  -0.1057073854E+000+/-     0.064956%
 14     0.1163850348E+000+/-     0.064415%    +i  -0.1028871495E+000+/-     0.064415%
 15     0.1079445929E+000+/-     0.068041%    +i  -0.8793419507E-001+/-     0.068041%
 16     0.1222405747E+000+/-     0.064956%    +i  -0.9161952311E-001+/-     0.064956%
 17     0.1136245978E+000+/-     0.068358%    +i  -0.7820872864E-001+/-     0.068358%
 18     0.1461250660E+000+/-     0.061084%    +i  -0.9213366174E-001+/-     0.061084%
 19     0.1228873603E+000+/-     0.067419%    +i  -0.7076513173E-001+/-     0.067420%
 20     0.1188106359E+000+/-     0.069337%    +i  -0.6212183344E-001+/-     0.069337%
 21     0.1235281443E+000+/-     0.068680%    +i  -0.5842801459E-001+/-     0.068681%
 22     0.1150953264E+000+/-     0.071795%    +i  -0.4888530710E-001+/-     0.071797%
 23     0.1423042086E+000+/-     0.065094%    +i  -0.5375467879E-001+/-     0.065097%
 24     0.1302589056E+000+/-     0.068518%    +i  -0.4338236396E-001+/-     0.068524%
 25     0.1176899740E+000+/-     0.072547%    +i  -0.3387400302E-001+/-     0.072556%
 26     0.1270618496E+000+/-     0.070186%    +i  -0.3124413623E-001+/-     0.070201%
 27     0.1459053849E+000+/-     0.065795%    +i  -0.2968431602E-001+/-     0.065820%
 28     0.1558950749E+000+/-     0.063887%    +i  -0.2519508799E-001+/-     0.063931%
 29     0.1490841670E+000+/-     0.065512%    +i  -0.1813213820E-001+/-     0.065603%
 30     0.1394155589E+000+/-     0.067884%    +i  -0.1125869800E-001+/-     0.068126%
 31     0.1178600394E+000+/-     0.073922%    +i  -0.4709543125E-002+/-     0.075112%
 32     0.1675848092E+000+/-     0.062017%    +i  -0.1130546564E-010+/-     0.000000%
 33     0.1178600394E+000+/-     0.073922%    +i   0.4709543109E-002+/-     0.075112%
 34     0.1394155589E+000+/-     0.067884%    +i   0.1125869798E-001+/-     0.068126%
 35     0.1490841671E+000+/-     0.065512%    +i   0.1813213818E-001+/-     0.065603%
 36     0.1558950749E+000+/-     0.063887%    +i   0.2519508797E-001+/-     0.063931%
 37     0.1459053849E+000+/-     0.065795%    +i   0.2968431600E-001+/-     0.065820%
 38     0.1270618496E+000+/-     0.070186%    +i   0.3124413622E-001+/-     0.070201%
 39     0.1176899740E+000+/-     0.072547%    +i   0.3387400301E-001+/-     0.072556%
 40     0.1302589056E+000+/-     0.068518%    +i   0.4338236394E-001+/-     0.068524%
 41     0.1423042086E+000+/-     0.065094%    +i   0.5375467877E-001+/-     0.065097%
 42     0.1150953264E+000+/-     0.071795%    +i   0.4888530708E-001+/-     0.071797%
 43     0.1235281443E+000+/-     0.068680%    +i   0.5842801457E-001+/-     0.068681%
 44     0.1188106359E+000+/-     0.069337%    +i   0.6212183342E-001+/-     0.069337%
 45     0.1228873603E+000+/-     0.067419%    +i   0.7076513172E-001+/-     0.067420%
 46     0.1461250660E+000+/-     0.061084%    +i   0.9213366172E-001+/-     0.061084%
 47     0.1136245978E+000+/-     0.068358%    +i   0.7820872863E-001+/-     0.068358%
 48     0.1222405747E+000+/-     0.064956%    +i   0.9161952309E-001+/-     0.064956%
 49     0.1079445929E+000+/-     0.068041%    +i   0.8793419505E-001+/-     0.068041%
 50     0.1163850348E+000+/-     0.064415%    +i   0.1028871495E+000+/-     0.064415%
 51     0.1102848647E+000+/-     0.064956%    +i   0.1057073854E+000+/-     0.064956%
 52     0.1086148415E+000+/-     0.064150%    +i   0.1128543872E+000+/-     0.064150%
 53     0.1056363308E+000+/-     0.063628%    +i   0.1191154589E+000+/-     0.063628%
 54     0.9218018826E-001+/-     0.066519%    +i   0.1127978438E+000+/-     0.066519%
 55     0.8560120599E-001+/-     0.067268%    +i   0.1138607968E+000+/-     0.067267%
 56     0.8465717194E-001+/-     0.065796%    +i   0.1224858121E+000+/-     0.065795%
 57     0.8425382215E-001+/-     0.063890%    +i   0.1335641415E+000+/-     0.063887%
 58     0.7824992085E-001+/-     0.064154%    +i   0.1356808732E+000+/-     0.064150%
 59     0.7598450937E-001+/-     0.062751%    +i   0.1450163145E+000+/-     0.062745%
 60     0.6470063101E-001+/-     0.065242%    +i   0.1369561121E+000+/-     0.065233%
 61     0.6514916974E-001+/-     0.062150%    +i   0.1537007513E+000+/-     0.062137%
 62     0.5926764846E-001+/-     0.062037%    +i   0.1567511593E+000+/-     0.062017%
 63     0.5286669726E-001+/-     0.061929%    +i   0.1597018276E+000+/-     0.061898%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   1000000000.00000        23507900.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (19865931.0000000,2.683586625350355E-003)
 (30293.1808229879,-4.092150269518709E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4516125607E-001+/-     0.063887%    +i  -0.1512602736E+000+/-     0.063887%
  1     0.5451328303E-001+/-     0.043094%    +i  -0.1648552112E+000+/-     0.043073%
  2     0.5886411840E-001+/-     0.043994%    +i  -0.1557994952E+000+/-     0.043980%
  3     0.6307383767E-001+/-     0.044642%    +i  -0.1489103313E+000+/-     0.044632%
  4     0.6350459780E-001+/-     0.046531%    +i  -0.1346044882E+000+/-     0.046524%
  5     0.7378868299E-001+/-     0.044996%    +i  -0.1410018861E+000+/-     0.044992%
  6     0.7790491507E-001+/-     0.045457%    +i  -0.1350644122E+000+/-     0.045454%
  7     0.7720701960E-001+/-     0.047195%    +i  -0.1223186185E+000+/-     0.047193%
  8     0.8479641224E-001+/-     0.046475%    +i  -0.1227094474E+000+/-     0.046474%
  9     0.8765282544E-001+/-     0.046985%    +i  -0.1166812485E+000+/-     0.046984%
 10     0.9399359011E-001+/-     0.046575%    +i  -0.1149857876E+000+/-     0.046574%
 11     0.1034624880E+000+/-     0.045454%    +i  -0.1166530302E+000+/-     0.045454%
 12     0.9983325017E-001+/-     0.047298%    +i  -0.1037820502E+000+/-     0.047298%
 13     0.9977469036E-001+/-     0.048280%    +i  -0.9563451651E-001+/-     0.048280%
 14     0.1090944571E+000+/-     0.047036%    +i  -0.9644904265E-001+/-     0.047036%
 15     0.1081626306E+000+/-     0.048057%    +i  -0.8808925682E-001+/-     0.048057%
 16     0.1154900509E+000+/-     0.047245%    +i  -0.8655907099E-001+/-     0.047245%
 17     0.1037599002E+000+/-     0.050572%    +i  -0.7142064675E-001+/-     0.050572%
 18     0.1340793915E+000+/-     0.045083%    +i  -0.8453245708E-001+/-     0.045083%
 19     0.1178218723E+000+/-     0.048679%    +i  -0.6782865106E-001+/-     0.048679%
 20     0.1150517787E+000+/-     0.049813%    +i  -0.6015746207E-001+/-     0.049814%
 21     0.1214448519E+000+/-     0.048970%    +i  -0.5743167844E-001+/-     0.048971%
 22     0.1126701400E+000+/-     0.051299%    +i  -0.4787584339E-001+/-     0.051300%
 23     0.1350149057E+000+/-     0.047245%    +i  -0.5100108399E-001+/-     0.047247%
 24     0.1115687499E+000+/-     0.052342%    +i  -0.3713706193E-001+/-     0.052346%
 25     0.1247522810E+000+/-     0.049813%    +i  -0.3595009342E-001+/-     0.049820%
 26     0.1445355434E+000+/-     0.046524%    +i  -0.3551832747E-001+/-     0.046534%
 27     0.1426870709E+000+/-     0.047036%    +i  -0.2904803200E-001+/-     0.047053%
 28     0.1516946305E+000+/-     0.045786%    +i  -0.2454349198E-001+/-     0.045818%
 29     0.1317580798E+000+/-     0.049266%    +i  -0.1600817243E-001+/-     0.049335%
 30     0.1348654120E+000+/-     0.048795%    +i  -0.1088374197E-001+/-     0.048969%
 31     0.1374460508E+000+/-     0.048393%    +i  -0.5562539947E-002+/-     0.049155%
 32     0.1520551608E+000+/-     0.046028%    +i  -0.2054035101E-010+/-     0.000000%
 33     0.1374460508E+000+/-     0.048393%    +i   0.5562539910E-002+/-     0.049155%
 34     0.1348654120E+000+/-     0.048795%    +i   0.1088374193E-001+/-     0.048969%
 35     0.1317580798E+000+/-     0.049266%    +i   0.1600817239E-001+/-     0.049335%
 36     0.1516946305E+000+/-     0.045786%    +i   0.2454349194E-001+/-     0.045818%
 37     0.1426870709E+000+/-     0.047036%    +i   0.2904803196E-001+/-     0.047053%
 38     0.1445355434E+000+/-     0.046524%    +i   0.3551832743E-001+/-     0.046534%
 39     0.1247522810E+000+/-     0.049813%    +i   0.3595009339E-001+/-     0.049820%
 40     0.1115687499E+000+/-     0.052342%    +i   0.3713706190E-001+/-     0.052346%
 41     0.1350149057E+000+/-     0.047245%    +i   0.5100108396E-001+/-     0.047247%
 42     0.1126701400E+000+/-     0.051299%    +i   0.4787584336E-001+/-     0.051300%
 43     0.1214448520E+000+/-     0.048970%    +i   0.5743167841E-001+/-     0.048971%
 44     0.1150517787E+000+/-     0.049813%    +i   0.6015746204E-001+/-     0.049814%
 45     0.1178218723E+000+/-     0.048679%    +i   0.6782865103E-001+/-     0.048679%
 46     0.1340793915E+000+/-     0.045083%    +i   0.8453245704E-001+/-     0.045083%
 47     0.1037599002E+000+/-     0.050572%    +i   0.7142064672E-001+/-     0.050572%
 48     0.1154900509E+000+/-     0.047245%    +i   0.8655907095E-001+/-     0.047245%
 49     0.1081626306E+000+/-     0.048057%    +i   0.8808925679E-001+/-     0.048057%
 50     0.1090944572E+000+/-     0.047036%    +i   0.9644904262E-001+/-     0.047036%
 51     0.9977469039E-001+/-     0.048280%    +i   0.9563451648E-001+/-     0.048280%
 52     0.9983325020E-001+/-     0.047298%    +i   0.1037820501E+000+/-     0.047298%
 53     0.1034624880E+000+/-     0.045454%    +i   0.1166530302E+000+/-     0.045454%
 54     0.9399359014E-001+/-     0.046575%    +i   0.1149857876E+000+/-     0.046574%
 55     0.8765282547E-001+/-     0.046985%    +i   0.1166812485E+000+/-     0.046984%
 56     0.8479641227E-001+/-     0.046475%    +i   0.1227094473E+000+/-     0.046474%
 57     0.7720701963E-001+/-     0.047195%    +i   0.1223186185E+000+/-     0.047193%
 58     0.7790491511E-001+/-     0.045457%    +i   0.1350644121E+000+/-     0.045454%
 59     0.7378868303E-001+/-     0.044996%    +i   0.1410018861E+000+/-     0.044992%
 60     0.6350459783E-001+/-     0.046531%    +i   0.1346044882E+000+/-     0.046524%
 61     0.6307383771E-001+/-     0.044642%    +i   0.1489103313E+000+/-     0.044632%
 62     0.5886411844E-001+/-     0.043994%    +i   0.1557994952E+000+/-     0.043980%
 63     0.5451328308E-001+/-     0.043094%    +i   0.1648552112E+000+/-     0.043073%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -852522944
   1500000000.00000        35240563.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (29794076.0000000,6.035572040311086E-003)
 (30279.7916203208,-6.133966486829594E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4621319615E-001+/-     0.051571%    +i  -0.1547838740E+000+/-     0.051571%
  1     0.5350626017E-001+/-     0.035506%    +i  -0.1619374075E+000+/-     0.035488%
  2     0.5803598293E-001+/-     0.036167%    +i  -0.1537301705E+000+/-     0.036155%
  3     0.6306430151E-001+/-     0.036474%    +i  -0.1487094689E+000+/-     0.036466%
  4     0.6529367908E-001+/-     0.037482%    +i  -0.1382996111E+000+/-     0.037476%
  5     0.7488429368E-001+/-     0.036470%    +i  -0.1431244130E+000+/-     0.036466%
  6     0.7252969984E-001+/-     0.038464%    +i  -0.1257952629E+000+/-     0.038461%
  7     0.7812395045E-001+/-     0.038321%    +i  -0.1236725974E+000+/-     0.038320%
  8     0.8033002354E-001+/-     0.038985%    +i  -0.1162949402E+000+/-     0.038984%
  9     0.8814576310E-001+/-     0.038264%    +i  -0.1172807767E+000+/-     0.038264%
 10     0.9325942958E-001+/-     0.038180%    +i  -0.1140910254E+000+/-     0.038180%
 11     0.9764453310E-001+/-     0.038208%    +i  -0.1100748545E+000+/-     0.038208%
 12     0.9426475775E-001+/-     0.039746%    +i  -0.9799375503E-001+/-     0.039746%
 13     0.1006543089E+000+/-     0.039253%    +i  -0.9645649075E-001+/-     0.039253%
 14     0.1103993169E+000+/-     0.038180%    +i  -0.9760315574E-001+/-     0.038180%
 15     0.1092636272E+000+/-     0.039043%    +i  -0.8898416355E-001+/-     0.039043%
 16     0.1122427194E+000+/-     0.039133%    +i  -0.8412551865E-001+/-     0.039133%
 17     0.1116490250E+000+/-     0.039809%    +i  -0.7685435732E-001+/-     0.039809%
 18     0.1277384884E+000+/-     0.037715%    +i  -0.8054091594E-001+/-     0.037715%
 19     0.1092832400E+000+/-     0.041274%    +i  -0.6289968221E-001+/-     0.041274%
 20     0.1244815315E+000+/-     0.039103%    +i  -0.6511601392E-001+/-     0.039103%
 21     0.1172875787E+000+/-     0.040689%    +i  -0.5547056304E-001+/-     0.040690%
 22     0.1207960448E+000+/-     0.040455%    +i  -0.5132309298E-001+/-     0.040456%
 23     0.1348271922E+000+/-     0.038604%    +i  -0.5095619765E-001+/-     0.038606%
 24     0.1218695203E+000+/-     0.040893%    +i  -0.4059838347E-001+/-     0.040896%
 25     0.1269381134E+000+/-     0.040324%    +i  -0.3658604685E-001+/-     0.040329%
 26     0.1437186557E+000+/-     0.038097%    +i  -0.3534295221E-001+/-     0.038105%
 27     0.1475365763E+000+/-     0.037769%    +i  -0.3011089776E-001+/-     0.037783%
 28     0.1560666136E+000+/-     0.036860%    +i  -0.2524777744E-001+/-     0.036886%
 29     0.1324220690E+000+/-     0.040128%    +i  -0.1606403782E-001+/-     0.040185%
 30     0.1391716377E+000+/-     0.039223%    +i  -0.1120284947E-001+/-     0.039364%
 31     0.1367166248E+000+/-     0.039621%    +i  -0.5544815190E-002+/-     0.040241%
 32     0.1542277946E+000+/-     0.037319%    +i  -0.3124288751E-010+/-     0.000000%
 33     0.1367166248E+000+/-     0.039621%    +i   0.5544815135E-002+/-     0.040241%
 34     0.1391716377E+000+/-     0.039223%    +i   0.1120284942E-001+/-     0.039364%
 35     0.1324220690E+000+/-     0.040128%    +i   0.1606403777E-001+/-     0.040185%
 36     0.1560666136E+000+/-     0.036860%    +i   0.2524777738E-001+/-     0.036886%
 37     0.1475365763E+000+/-     0.037769%    +i   0.3011089770E-001+/-     0.037783%
 38     0.1437186557E+000+/-     0.038097%    +i   0.3534295216E-001+/-     0.038105%
 39     0.1269381135E+000+/-     0.040324%    +i   0.3658604680E-001+/-     0.040329%
 40     0.1218695203E+000+/-     0.040893%    +i   0.4059838343E-001+/-     0.040896%
 41     0.1348271922E+000+/-     0.038604%    +i   0.5095619759E-001+/-     0.038606%
 42     0.1207960448E+000+/-     0.040455%    +i   0.5132309293E-001+/-     0.040456%
 43     0.1172875788E+000+/-     0.040689%    +i   0.5547056300E-001+/-     0.040690%
 44     0.1244815315E+000+/-     0.039103%    +i   0.6511601387E-001+/-     0.039103%
 45     0.1092832400E+000+/-     0.041274%    +i   0.6289968217E-001+/-     0.041274%
 46     0.1277384884E+000+/-     0.037715%    +i   0.8054091589E-001+/-     0.037715%
 47     0.1116490251E+000+/-     0.039809%    +i   0.7685435728E-001+/-     0.039809%
 48     0.1122427194E+000+/-     0.039133%    +i   0.8412551861E-001+/-     0.039133%
 49     0.1092636272E+000+/-     0.039043%    +i   0.8898416350E-001+/-     0.039043%
 50     0.1103993169E+000+/-     0.038180%    +i   0.9760315569E-001+/-     0.038180%
 51     0.1006543089E+000+/-     0.039253%    +i   0.9645649071E-001+/-     0.039253%
 52     0.9426475779E-001+/-     0.039746%    +i   0.9799375499E-001+/-     0.039746%
 53     0.9764453314E-001+/-     0.038208%    +i   0.1100748545E+000+/-     0.038208%
 54     0.9325942962E-001+/-     0.038180%    +i   0.1140910253E+000+/-     0.038180%
 55     0.8814576315E-001+/-     0.038264%    +i   0.1172807766E+000+/-     0.038264%
 56     0.8033002359E-001+/-     0.038985%    +i   0.1162949402E+000+/-     0.038984%
 57     0.7812395050E-001+/-     0.038321%    +i   0.1236725973E+000+/-     0.038320%
 58     0.7252969989E-001+/-     0.038464%    +i   0.1257952629E+000+/-     0.038461%
 59     0.7488429374E-001+/-     0.036470%    +i   0.1431244130E+000+/-     0.036466%
 60     0.6529367913E-001+/-     0.037482%    +i   0.1382996110E+000+/-     0.037476%
 61     0.6306430157E-001+/-     0.036474%    +i   0.1487094689E+000+/-     0.036466%
