 ============================================
 Beta  0.50000000000000000      Lx, Ly           4           4 Order           3 Seed   -41246497
   1281765656.0000000        985151.00000000000        38.237747142215490        198869.00000000000     
 topo 1:
         -32   0.0000000000000000     
         -31   0.0000000000000000     
         -30   0.0000000000000000     
         -29  -3.4609690226223228E-003
         -28  -3.2340832755837481E-003
         -27   6.0297771416353355E-003
         -26   0.0000000000000000     
         -25  -1.2997861440514943E-002
         -24   1.9227605681235126E-002
         -23  -2.2150201744782867E-003
         -22   1.8308526129672088E-002
         -21   0.0000000000000000     
         -20   2.5438122316274066E-002
         -19   0.0000000000000000     
         -18   6.9411656509258809E-003
         -17  -1.2459488481440363E-003
         -16   0.0000000000000000     
         -15   0.0000000000000000     
         -14  -6.9219380452446456E-003
         -13  -1.5074442854088339E-003
         -12   5.8490376482317249E-003
         -11  -2.2150201744782871E-003
         -10  -2.7918483449153406E-003
          -9  -2.3073126817482153E-003
          -8   8.0986675129362355E-003
          -7  -1.9689068217584771E-003
          -6  -5.6529160702831281E-004
          -5   1.9381426526685007E-003
          -4   1.7304845113111614E-003
          -3   1.4766801163188584E-003
          -2  -9.5176648122113766E-003
          -1  -6.8896356677001183E-002
           0   2.7495476124165816E-003
           1   3.8609032207919990E-003
           2   1.6266554406324906E-003
           3   1.2305667635990484E-003
           4   1.5382084544988102E-003
           5  -5.5375504361957178E-004
           6   1.3190137497327301E-003
           7  -1.7227934690386675E-003
           8  -5.2952826046121565E-003
           9  -3.8455211362470256E-004
          10   3.7224644598871210E-003
          11   1.6612651308587150E-003
          12   1.2997861440514947E-003
          13   0.0000000000000000     
          14   0.0000000000000000     
          15   0.0000000000000000     
          16   0.0000000000000000     
          17   0.0000000000000000     
          18   0.0000000000000000     
          19  -1.9996709908484532E-002
          20   0.0000000000000000     
          21   0.0000000000000000     
          22  -2.0342806810746765E-003
          23   0.0000000000000000     
          24   0.0000000000000000     
          25   0.0000000000000000     
          26  -1.1213539633296327E-002
          27   1.2059554283270671E-002
          28   0.0000000000000000     
          29   0.0000000000000000     
          30   0.0000000000000000     
          31   0.0000000000000000     
          32   0.0000000000000000     
 topo 2:
         -32   0.0000000000000000     
         -31   0.0000000000000000     
         -30   0.0000000000000000     
         -29   0.0000000000000000     
         -28   0.0000000000000000     
         -27   0.0000000000000000     
         -26   0.0000000000000000     
         -25   0.0000000000000000     
         -24   0.0000000000000000     
         -23   0.0000000000000000     
         -22   0.0000000000000000     
         -21   0.0000000000000000     
         -20   0.0000000000000000     
         -19   0.0000000000000000     
         -18   0.0000000000000000     
         -17   0.0000000000000000     
         -16   0.0000000000000000     
         -15   0.0000000000000000     
         -14   0.0000000000000000     
         -13   0.0000000000000000     
         -12   0.0000000000000000     
         -11   0.0000000000000000     
         -10   0.0000000000000000     
          -9   0.0000000000000000     
          -8   0.0000000000000000     
          -7   0.0000000000000000     
          -6   0.0000000000000000     
          -5   0.0000000000000000     
          -4   0.0000000000000000     
          -3   0.0000000000000000     
          -2   0.0000000000000000     
          -1  -6.9219380452446497E-004
           0   1.5382084544988102E-005
           1   0.0000000000000000     
           2   0.0000000000000000     
           3   0.0000000000000000     
           4   0.0000000000000000     
           5   0.0000000000000000     
           6   0.0000000000000000     
           7   0.0000000000000000     
           8   0.0000000000000000     
           9   0.0000000000000000     
          10   0.0000000000000000     
          11   0.0000000000000000     
          12   0.0000000000000000     
          13   0.0000000000000000     
          14   0.0000000000000000     
          15   0.0000000000000000     
          16   0.0000000000000000     
          17   0.0000000000000000     
          18   0.0000000000000000     
          19   0.0000000000000000     
          20   0.0000000000000000     
          21   0.0000000000000000     
          22   0.0000000000000000     
          23   0.0000000000000000     
          24   0.0000000000000000     
          25   0.0000000000000000     
          26   0.0000000000000000     
          27   0.0000000000000000     
          28   0.0000000000000000     
          29   0.0000000000000000     
          30   0.0000000000000000     
          31   0.0000000000000000     
          32   0.0000000000000000     
 ============================================
 Beta  0.50000000000000000      Lx, Ly           4           4 Order           3 Seed   -41246497
   2513376774.0000000        1969776.0000000000        38.237747142215490        404732.00000000000     
 topo 1:
         -32   0.0000000000000000     
         -31   0.0000000000000000     
         -30  -3.6316846707123806E-003
         -29  -1.7005807511140184E-003
         -28  -1.5890982352076547E-003
         -27   2.9627895752742002E-003
         -26  -1.2397233675621191E-002
         -25  -7.6639505850205078E-003
         -24   9.4476708395223232E-003
         -23  -4.3534867228518861E-003
         -22   7.9965085985716951E-003
         -21   1.8290690745315216E-003
         -20   1.1665983952642161E-002
         -19   0.0000000000000000     
         -18   3.4106091730675588E-003
         -17   1.2244181408020932E-003
         -16   0.0000000000000000     
         -15  -1.4511622409506288E-003
         -14  -3.4011615022280367E-003
         -13  -7.4069739381855005E-004
         -12   4.1513065668861097E-003
         -11  -1.6325575210694575E-003
         -10   6.8590090294932081E-004
          -9  -1.1337205007426786E-003
          -8   9.1831360560156979E-004
          -7  -2.6604641084094862E-003
          -6  -7.4069739381855027E-004
          -5   1.0489021695117366E-019
          -4   1.8895341679044645E-004
          -3  -3.0232546686471420E-004
          -2  -7.7376424175688383E-003
          -1  -6.5294742706112185E-002
           0   1.4039238867529957E-003
           1   1.9651155346206346E-003
           2   3.1800860045832096E-003
           3   1.1186042273994435E-003
           4   6.1409860456895099E-004
           5  -2.1087201313813820E-003
           6  -6.4811021959123129E-004
           7   1.4511622409506286E-003
           8  -1.8366272112031404E-003
           9   1.3226739175331251E-003
          10  -1.6782434712187784E-019
          11   3.5372079623171575E-003
          12  -3.5126440181343995E-003
          13   1.8517434845463756E-003
          14   8.5029037555700918E-004
          15  -1.4511622409506288E-003
          16  -3.8225276216707323E-003
          17   0.0000000000000000     
          18   0.0000000000000000     
          19  -9.8255776731032158E-003
          20  -8.3328456804586881E-004
          21   0.0000000000000000     
          22   0.0000000000000000     
          23   0.0000000000000000     
          24   0.0000000000000000     
          25   0.0000000000000000     
          26  -5.5098816336094196E-003
          27   5.9255791505484004E-003
          28   1.5890982352076547E-003
          29   0.0000000000000000     
          30   0.0000000000000000     
          31   0.0000000000000000     
          32   0.0000000000000000     
 topo 2:
         -32   0.0000000000000000     
         -31   0.0000000000000000     
         -30   0.0000000000000000     
         -29   0.0000000000000000     
         -28   0.0000000000000000     
         -27   0.0000000000000000     
         -26   0.0000000000000000     
         -25   0.0000000000000000     
         -24   0.0000000000000000     
         -23   0.0000000000000000     
         -22   0.0000000000000000     
         -21   0.0000000000000000     
         -20   0.0000000000000000     
