 ( 0.52393156526629525     ,-0.47486389093887721     )
 ( 0.56795349221007141     ,-0.42122301775470961     )
 ( 0.60650571654890395     ,-0.36352553664564002     )
 ( 0.63921695928762046     ,-0.30232710589540035     )
 ( 0.66577219327686277     ,-0.23821709984658063     )
 ( 0.68591567709674695     ,-0.17181293290352523     )
 ( 0.69945341798653915     ,-0.10375411349410579     )
 ( 0.70625504010098883     , -3.4696085253970443E-002)
 ( 0.70625504010098872     ,  3.4696085253970277E-002)
 ( 0.69945341798653915     , 0.10375411349410568     )
 ( 0.68591567709674695     , 0.17181293290352517     )
 ( 0.66577219327686277     , 0.23821709984658057     )
 ( 0.63921695928762046     , 0.30232710589540035     )
 ( 0.60650571654890395     , 0.36352553664564002     )
 ( 0.56795349221007141     , 0.42122301775470961     )
 ( 0.52393156526629525     , 0.47486389093887715     )
