 (-0.14292592690777908     , 0.36045866975087471     )
 ( 0.20875546081079371     , 0.38174701289797514     )
 ( 0.24814680988388649     , 0.38413154290683893     )
 ( 0.26351890641240883     , 0.38506208530684910     )
 ( 0.27183001766365278     , 0.38556516431723303     )
 ( 0.27711921606128642     , 0.38588537385866634     )
 ( 0.28084172553687325     , 0.38611071666619046     )
 ( 0.28365077220357310     , 0.38628076052142557     )
 ( 0.28588407935337634     , 0.38641592046046558     )
 ( 0.28773443542859184     , 0.38652794309239569     )
 ( 0.28932066027114484     , 0.38662397518756020     )
 ( 0.29072065859727453     , 0.38670872937274003     )
 ( 0.29198839333925197     , 0.38678545176778889     )
 ( 0.29316330565506316     , 0.38685660275168021     )
 ( 0.29427588212814865     , 0.38692393297533839     )
 ( 0.29535108649322711     , 0.38698908834443790     )
 ( 0.29641074239046999     , 0.38705309330633314     )
 ( 0.29747557802420732     , 0.38711765774871110     )
 ( 0.29856657181169161     , 0.38718366962664241     )
 ( 0.29970691680307388     , 0.38725272326618232     )
 ( 0.30092398814204674     , 0.38732637048679358     )
 ( 0.30225216985734188     , 0.38740678236447545     )
 ( 0.30373729786863662     , 0.38749668880259674     )
 ( 0.30544382280870008     , 0.38759998621876962     )
 ( 0.30746727279656766     , 0.38772244483862806     )
 ( 0.30995767241562400     , 0.38787321415232223     )
 ( 0.31316747216168883     , 0.38806752321299787     )
 ( 0.31755954430561151     , 0.38833340641848418     )
 ( 0.32408863106972829     , 0.38872859872346421     )
 ( 0.33509512018319104     , 0.38939486766456466     )
 ( 0.35826486527707302     , 0.39079740561764409     )
 ( 0.44226828562453652     , 0.39588231392471324     )
