 ( 0.28536754482721755     , 0.38638467864224324     )
 ( -9.5530419653289886E-003, -1.1914180458631313E-002)
 ( -8.9569406324824900E-003, -1.2368573308281210E-002)
 ( -8.3392583305829590E-003, -1.2793173894656989E-002)
 ( -7.7014818620101226E-003, -1.3186953025004736E-002)
 ( -7.0451573300639048E-003, -1.3548959033585134E-002)
 ( -6.3718560930386917E-003, -1.3878332181102964E-002)
 ( -5.6832068122682298E-003, -1.4174269770711925E-002)
 ( -4.9808529208771428E-003, -1.4436053935457493E-002)
 ( -4.2665164657796828E-003, -1.4663055032305805E-002)
 ( -3.5418928951004274E-003, -1.4854741587690151E-002)
 ( -2.8087435688924261E-003, -1.5010637762360493E-002)
 ( -2.0688192845517588E-003, -1.5130381945773921E-002)
 ( -1.3239231774043025E-003, -1.5213669314905736E-002)
 ( -5.7581938590668940E-004, -1.5260309457353207E-002)
 (  1.7365212681314684E-004, -1.5270178253607205E-002)
 (  9.2273060178130098E-004, -1.5243264653063970E-002)
 (  1.6695550214680306E-003, -1.5179627419420439E-002)
 (  2.4123835314101968E-003, -1.5079423675881776E-002)
 (  3.1493798816712246E-003, -1.4942888334368278E-002)
 (  3.8788066079909127E-003, -1.4770353088363834E-002)
 (  4.5988746522503746E-003, -1.4562233001941574E-002)
 (  5.3078759270066469E-003, -1.4319036541163205E-002)
 (  6.0040816162657794E-003, -1.4041344003830062E-002)
 (  6.6858367548914702E-003, -1.3729826507782008E-002)
 (  7.3514702289927108E-003, -1.3385239548590579E-002)
 (  7.9993978708300453E-003, -1.3008393033338955E-002)
 (  8.6280506808007473E-003, -1.2600208819895081E-002)
 (  9.2359264513452131E-003, -1.2161669705390340E-002)
 (  9.8215452474689872E-003, -1.1693834791012960E-002)
 (  1.0383502199247729E-002, -1.1197824371545350E-002)
 (  1.0920448491760586E-002, -1.0674835139793401E-002)
